Rosca/diametro,Comprimento em mm,Bedame de corte, Custo Por Comprimento ,Custo Por mm,M6,M8,M10,M12,M14
M12,80,3, R$ 2.17 ,0.02619, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M12,90,3, R$ 2.44 ,0.02619, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M12,95,3, R$ 2.57 ,0.02619, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M12,110,3, R$ 2.96 ,0.02619, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M12,125,3, R$ 3.35 ,0.02619, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M12,280,3, R$ 7.41 ,0.02619, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
PORCA M14,0,0, R$ -   ,0.02619, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M14,20,3, R$ 3.02 ,0.1315, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M14,25,3, R$ 3.68 ,0.1315, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M14,30,3, R$ 4.34 ,0.1315, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M14,35,3, R$ 5.00 ,0.1315, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M14,40,3, R$ 5.65 ,0.1315, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M14,45,3, R$ 6.31 ,0.1315, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M14,50,3, R$ 6.97 ,0.1315, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M14,60,3, R$ 8.28 ,0.1315, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M14,75,3, R$ 10.26 ,0.1315, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M14,80,3, R$ 10.91 ,0.1315, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M14,90,3, R$ 12.23 ,0.1315, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M14,95,3, R$ 12.89 ,0.1315, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M14,110,3, R$ 14.86 ,0.1315, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M14,125,3, R$ 16.83 ,0.1315, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
M14,280,3, R$ 37.21 ,0.1315, R$ 12.87 , R$ 42.14 , R$ 46.85 , R$ 26.19 , R$ 131.50 
,,,,,,,,,
